Begrotingsjaar;Valuta;eenheid;Uitgaven (U) Verplichtingen (V) Ontvangsten (O);Begrotingsstaat;Onderdeel;Omschrijving;ontwerpbegroting;vastgestelde begroting;1ste suppletoire begroting;2de suppletoire begroting;Realisatie;Url
2014;Euro;x1000;O;VII, Binnenlandse Zaken;67;Arbeidszaken overheid;820;;;;;
2014;Euro;x1000;O;VII, Binnenlandse Zaken;71;Centraal Apparaat;3875;;;;;
2014;Euro;x1000;O;VII, Binnenlandse Zaken;72;Algemeen;0;;;;;
2014;Euro;x1000;O;VII, Binnenlandse Zaken;73;Nominaal en onvoorzien;0;;;;;
2014;Euro;x1000;O;VII, Binnenlandse Zaken;74;VUT-fonds;337900;;;;;
2014;Euro;x1000;V;VII, Binnenlandse Zaken;-;TOTAAL;631336;;;;;
2014;Euro;x1000;V;VII, Binnenlandse Zaken;61;Openbaar bestuur en democratie;32629;;;;;
2014;Euro;x1000;V;VII, Binnenlandse Zaken;62;Algemene Inlichtingen- en Veiligheidsdienst;188892;;;;;
2014;Euro;x1000;V;VII, Binnenlandse Zaken;66;Dienstverlenende en innovatieve overheid;104758;;;;;
2014;Euro;x1000;V;VII, Binnenlandse Zaken;67;Arbeidszaken overheid;38897;;;;;
2014;Euro;x1000;V;VII, Binnenlandse Zaken;71;Centraal Apparaat;193481;;;;;
2014;Euro;x1000;V;VII, Binnenlandse Zaken;72;Algemeen;1450;;;;;
2014;Euro;x1000;V;VII, Binnenlandse Zaken;73;Nominaal en onvoorzien;1229;;;;;
2014;Euro;x1000;V;VII, Binnenlandse Zaken;74;VUT-fonds;70000;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;-;TOTAAL;34798913;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;1;Primair onderwijs;9555294;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;3;Voortgezet onderwijs;7229225;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;4;Beroepsonderwijs en volwasseneneducatie;3802465;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;6;Hoger beroepsonderwijs;2576472;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;7;Wetenschappelijk onderwijs;4033802;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;8;Internationaal onderwijsbeleid;13421;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;9;Arbeidsmarkt en personeelsbeleid;386420;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;11;Studiefinanciering;4231184;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;12;Tegemoetkoming studiekosten;114872;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;13;Lesgelden;7012;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;14;Cultuur;720522;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;15;Media;977571;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;16;Onderzoek en wetenschappen;895771;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;25;Emancipatie;14792;;;;;
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;91;Nominaal en onvoorzien;5367;;;;;
